id	chr	strand	skip_start	in_start	in_stop	skip_stop	event_class
50	chr1	+	110693506	110709466	110709837	110714682	e
51	chr1	+	112247109	112249286	112249399	112251771	e
52	chr1	+	114223959	114224835	114224924	114225519	e
53	chr1	+	145611342	145646116	145646173	145650483	e
54	chr1	+	153963279	153963391	153963510	153963591	e
55	chr1	+	154975420	154982735	154982873	154987131	e
56	chr1	+	155255103	155255516	155255755	155256964	e
57	chr1	+	155278757	155278760	155278867	155279544	e
58	chr1	+	155295282	155295359	155295463	155295655	e
59	chr1	+	156085066	156099623	156099699	156100408	e
60	chr1	+	156123556	156124481	156124508	156126205	e
61	chr1	+	156127924	156128180	156128277	156128510	e
62	chr1	+	161680283	161680551	161680702	161681724	e
63	chr1	+	161680283	161680999	161681264	161681724	e
64	chr1	+	162326927	162330397	162330714	162335194	e
65	chr1	+	165865570	165872420	165872516	165875158	e
66	chr1	+	170501426	170502606	170502792	170508351	e
67	chr1	+	170501426	170505452	170505562	170508351	e
68	chr1	+	171557645	171558509	171558744	171560726	e
69	chr1	+	171557645	171560292	171560339	171560726	e
70	chr1	+	172277980	172292470	172292480	172348158	e
71	chr1	+	181695299	181700312	181700367	181701520	e
72	chr1	+	182761422	182763492	182763574	182772833	e
73	chr1	+	183515473	183516239	183516387	183518343	e
74	chr1	+	184023998	184062760	184062858	184064824	e
75	chr1	+	185060872	185062194	185062408	185067204	e
76	chr1	+	186270844	186273241	186273389	186275450	e
77	chr1	+	186270844	186273927	186274054	186275450	e
78	chr1	+	196712759	196795960	196796135	196799630	e
79	chr1	+	197298134	197316471	197316609	197325961	e
80	chr1	+	199997040	200007830	200007900	200008786	e
81	chr1	+	200784773	200797702	200797733	200801328	e
82	chr1	+	202538326	202544131	202544310	202549602	e
83	chr1	+	203060839	203096194	203096858	203096957	e
84	chr1	+	203696700	203702352	203702458	203708674	e
85	chr1	+	203696700	203702459	203702528	203708674	e
86	chr1	+	204926955	204931237	204931286	204937377	e
87	chr1	+	204951149	204953156	204953270	204955038	e
88	chr1	+	204957935	204970299	204970414	204971724	e
89	chr1	+	207512763	207513737	207513853	207532891	e
90	chr1	+	207940541	207940953	207940996	207941124	e
91	chr1	+	207940541	207941125	207941168	207943666	e
92	chr1	+	213134703	213139065	213139120	213139613	e
93	chr1	+	215342703	215345341	215345526	215368296	e
94	chr1	+	224191357	224194997	224195119	224197022	e
95	chr1	+	227923201	227935394	227935934	227946696	e
96	chr1	+	230907846	230910301	230910377	230914719	e
97	chr1	+	231386890	231393969	231394055	231396253	e
98	chr1	+	236894615	236897734	236897818	236898935	e
99	chr1	+	243542166	243581271	243581378	243589729	e
100	chr1	+	243449700	243456702	243456796	243468015	e
101	chr1	+	244624797	244627211	244627258	244640843	e
102	chr1	+	244999059	245005247	245005360	245005497	e
103	chr1	-	11709283	11709837	11709931	11710002	e
104	chr1	-	15821948	15834369	15834402	15844605	e
105	chr1	-	17322796	17322882	17322991	17323515	e
106	chr1	-	21307721	21327693	21327805	21329206	e
107	chr1	-	21307721	21308882	21308901	21324094	e
108	chr1	-	25570125	25570946	25570989	25571641	e
109	chr1	-	26628214	26629305	26629409	26633083	e
110	chr1	-	28531818	28556643	28556763	28559432	e
111	chr1	-	29543198	29547351	29547433	29557243	e
112	chr1	-	32145287	32145406	32145452	32145643	e
113	chr1	-	32134457	32136204	32136247	32137216	e
114	chr1	-	32198745	32200785	32200882	32201181	e
115	chr1	-	33490169	33497146	33497262	33502337	e
116	chr1	-	34015951	34024901	34025073	34033193	e
117	chr1	-	37961520	37962309	37962337	37967405	e
118	chr1	-	38464821	38464930	38465104	38471029	e
119	chr1	-	42664902	42671434	42671534	42693554	e
120	chr1	-	44804995	44818523	44818597	44820564	e
121	chr1	-	45800184	45804180	45804328	45805571	e
122	chr1	-	50907196	50917466	50917865	50941136	e
123	chr1	-	53737019	53741304	53741425	53746259	e
124	chr1	-	60366776	60370039	60370188	60370543	e
125	chr1	-	68947296	68947730	68948037	68948324	e
126	chr1	-	71318543	71351962	71352011	71419446	e
127	chr1	-	71318543	71334928	71335002	71477988	e
128	chr1	-	84399450	84403536	84403699	84464614	e
129	chr1	-	93791453	93804584	93804831	93804914	e
130	chr1	-	98165104	98186382	98186482	98187066	e
131	chr1	-	101467144	101477148	101477205	101479266	e
132	chr1	-	101487322	101488492	101488885	101490865	e
133	chr1	-	103491509	103491773	103491888	103496672	e
134	chr1	-	109649745	109650544	109650659	109655221	e
135	chr1	-	113471975	113478691	113478741	113498657	e
136	chr1	-	151679211	151679622	151679770	151679983	e
137	chr1	-	153517286	153517957	153517994	153518229	e
138	chr1	-	153534068	153535892	153536012	153536210	e
139	chr1	-	154143188	154143890	154143964	154144505	e
140	chr1	-	154942676	154945770	154945984	154946724	e
141	chr1	-	156215069	156215327	156215452	156215573	e
142	chr1	-	156384546	156386562	156386631	156389963	e
143	chr1	-	156445030	156446287	156446306	156446804	e
144	chr1	-	156449589	156450627	156450763	156452229	e
145	chr1	-	159863096	159867857	159868058	159869886	e
146	chr1	-	169890923	169894929	169894996	169923152	e
147	chr1	-	172363551	172366305	172366412	172368959	e
148	chr1	-	175332964	175334147	175334415	175335011	e
149	chr1	-	175365944	175372277	175372752	175375352	e
150	chr1	-	177901705	177901834	177901941	177902349	e
151	chr1	-	182636109	182638760	182638887	182640792	e
152	chr1	-	196285157	196288615	196288685	196295847	e
153	chr1	-	200942707	200943133	200943322	200943842	e
154	chr1	-	201337356	201338945	201338970	201341155	e
155	chr1	-	201459473	201465321	201465389	201476198	e
156	chr1	-	203149006	203149599	203149780	203150290	e
157	chr1	-	216850834	216888417	216888591	216896586	e
158	chr1	-	217113016	217132905	217133027	217243037	e
159	chr1	-	220184399	220191469	220191488	220191791	e
160	chr1	-	225718341	225723210	225723265	225742608	e
161	chr1	-	227247113	227256356	227256402	227257478	e
162	chr1	-	227235712	227247075	227247112	227257478	e
163	chr1	-	227235712	227239583	227239686	227247074	e
164	chr1	-	228296210	228296657	228296705	228296850	e
165	chr1	-	232539318	232539872	232539924	232551240	e
166	chr1	-	233353931	233362973	233363117	233372591	e
167	chr1	-	233193037	233225808	233225936	233231572	e
168	chr1	-	234534300	234536600	234536694	234536927	e
169	chr1	-	241033420	241099901	241100006	241146379	e
170	chr1	-	242428751	242451665	242451832	242511401	e
171	chr1	-	247131095	247143143	247143306	247151427	e
172	chr1	-	247264622	247265034	247265093	247265289	e
173	chr2	+	27522285	27522399	27522523	27527827	e
174	chr2	+	27995560	27997292	27997397	28002300	e
175	chr2	+	28533021	28550142	28550314	28561317	e
176	chr2	+	33540337	33567906	33568030	33572434	e
177	chr2	+	39811951	39815590	39815707	39826506	e
178	chr2	+	63058294	63085543	63085645	63086304	e
179	chr2	+	63206471	63215067	63215173	63217851	e
180	chr2	+	64806681	64808325	64808407	64812556	e
181	chr2	+	74174034	74177713	74177859	74185273	e
182	chr2	+	74425870	74428510	74428606	74432832	e
183	chr2	+	74651110	74652003	74652102	74652202	e
184	chr2	+	74884752	74884981	74885078	74889859	e
185	chr2	+	74884752	74889860	74889952	74900584	e
186	chr2	+	95691631	95713705	95713871	95715326	e
187	chr2	+	96874718	96903644	96903837	96906182	e
188	chr2	+	111907725	111909400	111909470	111911357	e
189	chr2	+	111881717	111902066	111902097	111907621	e
190	chr2	+	114392708	114398472	114398582	114398930	e
191	chr2	+	120317603	120319591	120319690	120344695	e
192	chr2	+	127413889	127443405	127444221	127447831	e
193	chr2	+	131890565	131897744	131897844	132110593	e
194	chr2	+	135922267	135925264	135925283	135926115	e
195	chr2	+	136396693	136399107	136399360	136402949	e
196	chr2	+	136362587	136373723	136373763	136374238	e
197	chr2	+	136362587	136374239	136374327	136379064	e
198	chr2	+	153497429	153501949	153501994	153504310	e
199	chr2	+	159530513	159533252	159533379	159535093	e
200	chr2	+	172563888	172569278	172569336	172571838	e
201	chr2	+	173362829	173366501	173366629	173368819	e
202	chr2	+	173335834	173337503	173337618	173338783	e
203	chr2	+	179203822	179204400	179204491	179213951	e
204	chr2	+	179203822	179209014	179209087	179213951	e
205	chr2	+	179350485	179353696	179353741	179355386	e
206	chr2	+	182787140	182792889	182793005	182794288	e
207	chr2	+	182839992	182888550	182888640	182926169	e
208	chr2	+	192265195	192265476	192265561	192267358	e
209	chr2	+	192265195	192267359	192267444	192272841	e
210	chr2	+	201284220	201303846	201304051	201305372	e
211	chr2	+	203782767	203789081	203789138	203806583	e
212	chr2	+	204260504	204261509	204261690	204267299	e
213	chr2	+	204245108	204246913	204246929	204255769	e
214	chr2	+	210545552	210561642	210561775	210565001	e
215	chr2	+	220300088	220308753	220308781	220309375	e
216	chr2	+	228205097	228211943	228212100	228217230	e
217	chr2	+	228205097	228211943	228212100	228220393	e
218	chr2	+	231282381	231305192	231305272	231307652	e
219	chr2	+	231729500	231729666	231729860	231738132	e
220	chr2	+	231740524	231741573	231741682	231742115	e
221	chr2	+	242755883	242756090	242756344	242757377	e
222	chr2	-	219002	224869	224920	229966	e
223	chr2	-	1696907	1738112	1738225	1748028	e
224	chr2	-	8439924	8452857	8452979	8464672	e
225	chr2	-	9083394	9098627	9098771	9143669	e
226	chr2	-	16747036	16769319	16769397	16805132	e
227	chr2	-	16745363	16746915	16747035	16769318	e
228	chr2	-	20160376	20162057	20162088	20166485	e
229	chr2	-	25611231	25642385	25642404	25650404	e
230	chr2	-	27325090	27325229	27325298	27325394	e
231	chr2	-	31189169	31215705	31215873	31337609	e
232	chr2	-	31181331	31189071	31189168	31215704	e
233	chr2	-	36785657	36787929	36788008	36805740	e
234	chr2	-	37111219	37113860	37113969	37121041	e
235	chr2	-	40402422	40404893	40404995	40405527	e
236	chr2	-	43819556	43819984	43820029	43823070	e
237	chr2	-	50280729	50282094	50282182	50318461	e
238	chr2	-	55214835	55255301	55255356	55276881	e
239	chr2	-	55214835	55254375	55254621	55255300	e
240	chr2	-	55449630	55455169	55455340	55459372	e
241	chr2	-	58388774	58390002	58390082	58390164	e
242	chr2	-	61749819	61752406	61752468	61753555	e
243	chr2	-	70451762	70452461	70452525	70454867	e
244	chr2	-	70528113	70528655	70528735	70529057	e
245	chr2	-	70933575	70940232	70940316	70995018	e
246	chr2	-	74590555	74590742	74590755	74592202	e
247	chr2	-	74601468	74603870	74603889	74604559	e
248	chr2	-	74600076	74601451	74601467	74604559	e
249	chr2	-	74787419	74789351	74789550	74802565	e
250	chr2	-	75749614	75787807	75788045	75796602	e
251	chr2	-	85066448	85068986	85069131	85097349	e
252	chr2	-	86067516	86071520	86071677	86073500	e
253	chr2	-	86393768	86397873	86397964	86398331	e
254	chr2	-	100722046	100745687	100745768	100758946	e
255	chr2	-	105990191	105994454	105994574	106002818	e
256	chr2	-	110927576	110937202	110937261	110958998	e
257	chr2	-	122182883	122184981	122185006	122187649	e
258	chr2	-	122168546	122176199	122176305	122182715	e
259	chr2	-	122135226	122139785	122139900	122144698	e
260	chr2	-	127811589	127815050	127815177	127816587	e
261	chr2	-	127821595	127825740	127825831	127826500	e
262	chr2	-	133426111	133427455	133427492	133428752	e
263	chr2	-	135739089	135740751	135740901	135741246	e
264	chr2	-	163361168	163369165	163369184	163374240	e
265	chr2	-	175983098	175986173	175986268	175994866	e
266	chr2	-	179334510	179337790	179337865	179341789	e
267	chr2	-	179543558	179546104	179546177	179546388	e
268	chr2	-	179539137	179542349	179542644	179542852	e
269	chr2	-	179523522	179534320	179534402	179534945	e
270	chr2	-	179617908	179622270	179622643	179623711	e
271	chr2	-	182414436	182430786	182430848	182438480	e
272	chr2	-	183888645	183889707	183889723	183902720	e
273	chr2	-	192012931	192015674	192015740	192016060	e
274	chr2	-	200213897	200246418	200246543	200298061	e
275	chr2	-	204335037	204341800	204341879	204354307	e
276	chr2	-	225630555	225633590	225633664	225634928	e
277	chr2	-	228856043	228858251	228858336	228860225	e
278	chr2	-	230272062	230282825	230282946	230312032	e
279	chr2	-	230724291	230725123	230725247	230744698	e
280	chr2	-	238290143	238303231	238303847	238305370	e
281	chr2	-	238285988	238287280	238287878	238289558	e
282	chr3	+	436556	439911	440068	440700	e
283	chr3	+	4693903	4695527	4695570	4699808	e
284	chr3	+	4753553	4768811	4768857	4774772	e
285	chr3	+	7721983	7732727	7732769	7782044	e
286	chr3	+	37396679	37402735	37402796	37407571	e
287	chr3	+	39509232	39521532	39521614	39543557	e
288	chr3	+	44867953	44868489	44868685	44868951	e
289	chr3	+	48965247	48982570	48982614	48999045	e
290	chr3	+	49044965	49049069	49049174	49049455	e
291	chr3	+	49249270	49251355	49251430	49273981	e
292	chr3	+	51741184	51746490	51747326	51749078	e
293	chr3	+	53796109	53796579	53796661	53804000	e
294	chr3	+	53835453	53836175	53836200	53837450	e
295	chr3	+	53700563	53707051	53707153	53707740	e
296	chr3	+	54913117	54913378	54913438	54914823	e
297	chr3	+	56593623	56594891	56595040	56597712	e
298	chr3	+	57882660	57893612	57893733	57894803	e
299	chr3	+	58398691	58406264	58406295	58410479	e
300	chr3	+	58318818	58351602	58351651	58355158	e
301	chr3	+	62204658	62216900	62216985	62229481	e
302	chr3	+	77572054	77576555	77576565	77595489	e
303	chr3	+	97483822	97484836	97484933	97486925	e
304	chr3	+	122843191	122849328	122849463	122864369	e
305	chr3	+	124223798	124237248	124238698	124281690	e
306	chr3	+	125635563	125637708	125637769	125639668	e
307	chr3	+	127379818	127381081	127381154	127381608	e
308	chr3	+	130308027	130308819	130308880	130309885	e
309	chr3	+	134270855	134278148	134278271	134280219	e
310	chr3	+	134204895	134206862	134206932	134214138	e
311	chr3	+	141105780	141115102	141115345	141122769	e
312	chr3	+	141595753	141620979	141621069	141622462	e
313	chr3	+	148425815	148447968	148448024	148458776	e
314	chr3	+	148425815	148457588	148457743	148458776	e
315	chr3	+	148742060	148744240	148744289	148744547	e
316	chr3	+	150908719	150910338	150910441	150911277	e
317	chr3	+	152163329	152164494	152164546	152165409	e
318	chr3	+	152165563	152173332	152173366	152174056	e
319	chr3	+	158991673	159482233	159482888	159583952	e
320	chr3	+	169500432	169501519	169501646	169502410	e
321	chr3	+	181328718	181417387	181417671	181457357	e
322	chr3	+	182616561	182620270	182620354	182631649	e
323	chr3	+	184034007	184034502	184034521	184035109	e
324	chr3	+	184055160	184056176	184056317	184059512	e
325	chr3	+	197581317	197585706	197585776	197592294	e
326	chr3	+	197602647	197607384	197610246	197610412	e
327	chr3	-	9068680	9069785	9069814	9074334	e
328	chr3	-	27418337	27420741	27420847	27424644	e
329	chr3	-	33444397	33450183	33450289	33450728	e
330	chr3	-	33617768	33618695	33618756	33623313	e
331	chr3	-	33614847	33615966	33615988	33617661	e
332	chr3	-	45812951	45813998	45814107	45817253	e
333	chr3	-	48336726	48337610	48337648	48338217	e
334	chr3	-	49114472	49129831	49129889	49130669	e
335	chr3	-	49898286	49898377	49898443	49898621	e
336	chr3	-	52584834	52588741	52588895	52595783	e
337	chr3	-	55545305	55717823	55717887	55733406	e
338	chr3	-	62484944	62498427	62498443	62499313	e
339	chr3	-	62464092	62467399	62467544	62477014	e
340	chr3	-	65369299	65372819	65372901	65376817	e
341	chr3	-	65350622	65361588	65361620	65364936	e
342	chr3	-	78695341	78696780	78696805	78700882	e
343	chr3	-	98240287	98240498	98240540	98241693	e
344	chr3	-	107766140	107769426	107769449	107770786	e
345	chr3	-	107766140	107768467	107768498	107769425	e
346	chr3	-	114693264	114790067	114790261	114819022	e
347	chr3	-	118949092	118953993	118954074	118955700	e
348	chr3	-	119166020	119170057	119170164	119171294	e
349	chr3	-	119361409	119362215	119362296	119367107	e
350	chr3	-	119582453	119585438	119585475	119595260	e
351	chr3	-	123695829	123700227	123700271	123710769	e
352	chr3	-	124567406	124576080	124576160	124578089	e
353	chr3	-	132338390	132339977	132340136	132345535	e
354	chr3	-	141724387	141772958	141772991	141811903	e
355	chr3	-	146254353	146255784	146255831	146262254	e
356	chr3	-	150917227	150918697	150918784	150920891	e
357	chr3	-	155200841	155201139	155201165	155203145	e
358	chr3	-	156868171	156869519	156869719	156869966	e
359	chr3	-	160804577	160807733	160807850	160818927	e
360	chr3	-	169514688	169518448	169518542	169521841	e
361	chr3	-	170946011	171064735	171065007	171087409	e
362	chr3	-	179618524	179689383	179689453	179754367	e
363	chr3	-	179605573	179615931	179616034	179689382	e
364	chr3	-	182743593	182746882	182746977	182751779	e
365	chr3	-	195606047	195608923	195609199	195610028	e
366	chr3	-	195997413	196010347	196010409	196014486	e
367	chr3	-	196796132	196802709	196802741	196803457	e
368	chr3	-	196793626	196795374	196795408	196796090	e
369	chr3	-	196888610	196910447	196910790	196921296	e
370	chr3	-	197273358	197281434	197281584	197282652	e
371	chr3	-	197423921	197426059	197426102	197427484	e
372	chr3	+	197792678	197799628	197799701	197803667	e
373	chr4	+	1803753	1806058	1806247	1806551	e
374	chr4	+	1807901	1807985	1808054	1808273	e
375	chr4	+	1941506	1944067	1944159	1952799	e
376	chr4	+	2927840	2928370	2928402	2929898	e
377	chr4	+	2965850	2986241	2986335	2990454	e
378	chr4	+	2965850	2990455	2990566	2993942	e
379	chr4	+	15704956	15706544	15706587	15707138	e
380	chr4	+	20709494	20711307	20711396	20714411	e
381	chr4	+	20702241	20702290	20702370	20703764	e
382	chr4	+	20702241	20702371	20702410	20706089	e
383	chr4	+	20702241	20703765	20703844	20706089	e
384	chr4	+	38869456	38870020	38870167	38879692	e
385	chr4	+	41259027	41259133	41259143	41259626	e
386	chr4	+	41668684	41672736	41672809	41673571	e
387	chr4	+	54294351	54306750	54306775	54308820	e
388	chr4	+	56750095	56755055	56755098	56756389	e
389	chr4	+	62775464	62778438	62778475	62800558	e
390	chr4	+	62863984	62894574	62894599	62897160	e
391	chr4	+	62910268	62933885	62933935	62935827	e
392	chr4	+	71600311	71607345	71607397	71628236	e
393	chr4	+	74991235	75009111	75009184	75025772	e
394	chr4	+	76442190	76446947	76447071	76452170	e
395	chr4	+	76932474	76979144	76979223	76979745	e
396	chr4	+	79475643	79492188	79492327	79494334	e
397	chr4	+	79567418	79570756	79570863	79584072	e
398	chr4	+	79570864	79584127	79584165	79601915	e
399	chr4	+	87666282	87674163	87674218	87679413	e
400	chr4	+	88898250	88901199	88901278	88901545	e
401	chr4	+	88901279	88901546	88901586	88902627	e
402	chr4	+	95497186	95503869	95503882	95506137	e
403	chr4	+	108949226	108953484	108953533	108954332	e
404	chr4	+	110394343	110402834	110402937	110412483	e
405	chr4	+	114251627	114253129	114253226	114254210	e
406	chr4	+	114271406	114276595	114280455	114281979	e
407	chr4	+	115520131	115544036	115544858	115585151	e
408	chr4	+	128910977	128922872	128922915	128930075	e
409	chr4	+	158281296	158282163	158282276	158282690	e
410	chr4	+	159549862	159559161	159559231	159560412	e
411	chr4	+	159493988	159514554	159514651	159520478	e
412	chr4	+	174216995	174218947	174219128	174219266	e
413	chr4	+	174452230	174455065	174455273	174457999	e
414	chr4	+	177084445	177087276	177087295	177089823	e
415	chr4	+	184190317	184190916	184191003	184192233	e
416	chr4	+	185573255	185578240	185578474	185580494	e
417	chr4	-	1090628	1102132	1102192	1107144	e
418	chr4	-	5868484	5889956	5890027	5891352	e
419	chr4	-	7780604	7783104	7783354	7787921	e
420	chr4	-	38777274	38777732	38778047	38784542	e
421	chr4	-	38800520	38802479	38802569	38805927	e
422	chr4	-	42590347	42596307	42596379	42602495	e
423	chr4	-	46314734	46334633	46334699	46388091	e
424	chr4	-	48503751	48504846	48504862	48507564	e
425	chr4	-	56471517	56473466	56473515	56473604	e
426	chr4	-	66233143	66242717	66242781	66270092	e
427	chr4	-	76573926	76579168	76579265	76580250	e
428	chr4	-	80940131	80945808	80945909	80952777	e
429	chr4	-	83750212	83763339	83763634	83765539	e
430	chr4	-	83816928	83819143	83819215	83821230	e
431	chr4	-	84185517	84188244	84188361	84188739	e
432	chr4	-	87010431	87019678	87019748	87022205	e
433	chr4	-	87080621	87115490	87115560	87275683	e
434	chr4	-	90743540	90749295	90749335	90756698	e
435	chr4	-	90647812	90650346	90650428	90743397	e
436	chr4	-	99408036	99428830	99428879	99579297	e
437	chr4	-	99403327	99407890	99408035	99428829	e
438	chr4	-	100269004	100272171	100272289	100273815	e
439	chr4	-	101947219	101950324	101950352	101953424	e
440	chr4	-	109790307	109805335	109805378	109810377	e
441	chr4	-	114421668	114424093	114424133	114429392	e
442	chr4	-	141334242	141347859	141347941	141348691	e
443	chr4	-	146017264	146018841	146018912	146019272	e
444	chr4	-	152065203	152065373	152065440	152069074	e
445	chr4	-	152100550	152102842	152102881	152108575	e
446	chr4	-	154644611	154649360	154649513	154669797	e
447	chr4	-	155287594	155295073	155295107	155298405	e
448	chr4	-	156276313	156276869	156277036	156278601	e
449	chr4	-	162421287	162431551	162431576	162459318	e
450	chr4	-	164775322	164909654	164909861	165032740	e
451	chr4	-	167921615	167983644	167983688	168155136	e
452	chr4	-	170459063	170476872	170477002	170477083	e
453	chr4	-	176622919	176733343	176733400	176923460	e
454	chr4	-	185689605	185691410	185691486	185691553	e
455	chr4	-	186381393	186382204	186382313	186383797	e
456	chr4	-	186599977	186611717	186611765	186696381	e
457	chr4	-	186541306	186544069	186545648	186547986	e
458	chr4	-	186815528	186854091	186854524	186877350	e
459	chr5	+	304337	311409	311517	314532	e
460	chr5	+	10564904	10565328	10565356	10588068	e
461	chr5	+	31545820	31548598	31548794	31551400	e
462	chr5	+	38438558	38445782	38445804	38448403	e
463	chr5	+	52899361	52900555	52900725	52942063	e
464	chr5	+	56531860	56532941	56532999	56542127	e
465	chr5	+	61662309	61668266	61668378	61669514	e
466	chr5	+	65350780	65364706	65364848	65367997	e
467	chr5	+	68805647	68809776	68809936	68830521	e
468	chr5	+	70900296	70922468	70922580	70927948	e
469	chr5	+	76640757	76649172	76649231	76696073	e
470	chr5	+	76640757	76645245	76645384	76646890	e
471	chr5	+	80529197	80539862	80540024	80546932	e
472	chr5	+	82808216	82815169	82818128	82832826	e
473	chr5	+	102515890	102518936	102519108	102520373	e
474	chr5	+	119800341	119954138	119954260	120021649	e
475	chr5	+	121787297	121788621	121788690	121799186	e
476	chr5	+	134246157	134257633	134257805	134294730	e
477	chr5	+	141018428	141018523	141018588	141019031	e
478	chr5	+	148612864	148618812	148618840	148619322	e
479	chr5	+	148619452	148620240	148620337	148622054	e
480	chr5	+	149206449	149210331	149210446	149212219	e
481	chr5	+	150400303	150400390	150400415	150404901	e
482	chr5	+	153149976	153174182	153174295	153175036	e
483	chr5	+	163724203	163781148	163781230	163913680	e
484	chr5	+	173359504	173370030	173370052	173371970	e
485	chr5	+	176798398	176798477	176798590	176798874	e
486	chr5	-	11082959	11098688	11098860	11110970	e
487	chr5	-	73925818	73930510	73932323	73936132	e
488	chr5	-	74109845	74130252	74130422	74134790	e
489	chr5	-	83476340	83525674	83525702	83549902	e
490	chr5	-	87524346	87536631	87536733	87564538	e
491	chr5	-	88025165	88026029	88026051	88027546	e
492	chr5	-	88056943	88057003	88057145	88100415	e
493	chr5	-	94114869	94134719	94134837	94204038	e
494	chr5	-	109733556	109756199	109756457	109760524	e
495	chr5	-	115803444	115808582	115808631	115808769	e
496	chr5	-	131309052	131310587	131310663	131312341	e
497	chr5	-	133657595	133685941	133686118	133706689	e
498	chr5	-	141975047	141980268	141980370	141993524	e
499	chr5	-	145197618	145198943	145198977	145199508	e
500	chr5	-	146080706	146257566	146257758	146414732	e
501	chr5	-	148892773	148897358	148897440	148899853	e
502	chr5	-	150111052	150111449	150111468	150112930	e
503	chr5	-	159505176	159507659	159507777	159520108	e
504	chr5	-	159680806	159681137	159681342	159682556	e
505	chr5	-	159686779	159703277	159703419	159707532	e
506	chr5	-	160972301	160973329	160973419	160973573	e
507	chr5	-	175819947	175823481	175823533	175824608	e
508	chr5	-	176056665	176056811	176056966	176057281	e
509	chr5	-	176886270	176886605	176886741	176887433	e
510	chr5	-	177161406	177161865	177161934	177171889	e
511	chr5	-	177156557	177158571	177158600	177161381	e
512	chr5	-	177151823	177156487	177156556	177158570	e
513	chr5	-	177140918	177141056	177141178	177143346	e
514	chr5	-	179292889	179294446	179294495	179294778	e
515	chr5	-	179674511	179674856	179674926	179675973	e
516	chr6	+	13925255	13974442	13974595	13977140	e
517	chr6	+	22111150	22174228	22174291	22191796	e
518	chr6	+	24667573	24687634	24687921	24698111	e
519	chr6	+	29637999	29638059	29638174	29638478	e
520	chr6	+	29625075	29627102	29627443	29633929	e
521	chr6	+	30848903	30853403	30853457	30856465	e
522	chr6	+	30862449	30864399	30864642	30864791	e
523	chr6	+	34434048	34494021	34494145	34495109	e
524	chr6	+	34725329	34725332	34725618	34725689	e
525	chr6	+	35310459	35314845	35314927	35378764	e
526	chr6	+	36063844	36067966	36068044	36070348	e
527	chr6	+	42036346	42039086	42039206	42044838	e
528	chr6	+	42749840	42778045	42778139	42789756	e
529	chr6	+	43470088	43470327	43470355	43471139	e
530	chr6	+	43445971	43457638	43457766	43465619	e
531	chr6	+	43544178	43550054	43550193	43550744	e
532	chr6	+	46638966	46644121	46644191	46644384	e
533	chr6	+	54067032	54095513	54095715	54122106	e
534	chr6	+	53989664	54001514	54003084	54013854	e
535	chr6	+	53989664	54025166	54025230	54034326	e
536	chr6	+	57037609	57039002	57039193	57046830	e
